id,name,seo_name,has_detailed_info,wines_count
875,Cienna,cienna,false,22
876,Citronny Magaracha,citronny-magaracha,false,28
877,Ciurlese,ciurlese,false,11
878,Cividin,cividin,false,8
879,Claverie,claverie,false,18
880,Clinton,clinton,false,24
881,Coda di Cavallo Bianca,coda-di-cavallo-biancha,false,9
882,Coda di Pecora,coda-di-pecora,false,10
883,Codega de Larinho,codega-di-larinho,false,1724
884,Codivarta,codivarta,false,9
885,Colombana Nera,columbana-nera,false,32
886,Colombaud,colombaud,false,35
887,Coloraillo,coloraillo,false,29
888,Completter,completter,false,92
889,Complexa,complexa,false,11
890,Cordenossa,cordenossa,false,9
891,Cornarea,cornarea,false,8
892,Corot Noir,corot-noir,false,73
893,Corredera,corredera,false,7
894,Corva,corva,false,18
895,Cot,cot,false,590
896,Courbu Blanc,courbu-blanc,false,48
897,Courbu Noir,courbu-noir,false,10
898,Cramposie Selectionata,cramposie-selectionata,false,85
899,Criolla Grande,criolla-grande,false,78
900,Crouchen,crouchen,false,60
901,Crovassa,crovassa,false,8
902,Crystal,crystal,false,26
903,Csaba Gyongye,csaba--gyongye,false,12
904,Csokaszolo,csokaszolo,false,22
905,Cygne Blanc,cygne-blanc,false,11
906,Dafni,dafni,false,48
907,Dakapo,dakapo,false,51
908,Dalkauer,dalkauer,false,27
909,Damaschino,damaschino,false,22
910,Debina,debina,false,44
911,Debine e Bardhe,debine-e-Bardhe,false,10
912,Debine e Zeze,debine-e-zeze,false,9
913,Debit,debit,false,80
914,Deckrot,deckrot,false,9
915,Delaware,delaware,false,462
916,Delisle,delisle,false,5
917,Devin,devin,false,431
918,Diagalves,diagalves,false,55
919,Dimrit,dimrit,false,8
920,Dimyat,dimyat,false,71
921,Diseca Ranina,diseca-ranina,false,6
922,Dnestrovsky Rozovy,dnestrovsky-rozovy,false,4
923,Dobricic,dobricic,false,22
924,Doina,doina,false,6
925,Dolciame,dolciame,false,6
926,Domina,domina,false,438
927,Donzelinho Tinto,donzelinho-tinto,false,50
928,Doradilla,doradilla,false,15
929,Dorona di Venezia,dorona-di-venezia,false,28
930,Doux D'Henry,doux-d-henry,false,7
931,Dragon Blue,dragon-blue,false,9
932,Dunaj,dunaj,false,324
933,Dunkelfelder,dunkelfelder,false,266
934,Duranija,duranija-,false,7
935,Dureza,dureza,false,13
936,Dutchess,dutchess,false,7
937,Dzvelshavi Obchuri,dzvelshavi-obchuri,false,15
938,Dona Branca,dona-branca,false,78
939,Doral,doral,false,95
940,Dorinto,dorinto,false,3
941,Early Muscat,early-muscat,false,21
942,Ederena,ederena,false,15
943,Egiodola,egiodola,false,116
944,Ehrenfelser,ehrenfelser,false,194
945,Ekigaina,ekigaina,false,18
946,Ekim Kara,ekim-kara,false,65
947,Elbling,elbling,false,391
948,Elvira,elvira,false,18
949,Emerald Riesling,emerald-riesling,false,91
950,Emir,emir,false,92
951,Enantio,enantio,false,64
952,Enfariné Noir,enfarine-noir,false,18
